,URL,Date,Title,Authors,Categories,Text
0,https://sysblok.ru/blog/chto-chitajut-na-programme-po-digital-humanities-vybor-prepodavatelej-dh-centra-itmo/,29.12.2023,Что читают на программе по Digital Humanities? Выбор преподавателей DH-центра ИТМО,"['DH Center ITMO University', ' Вика Книппер']","['Блог DH ИТМО', 'Блоги']","Разговор с преподавателями DH-центра ИТМО о том, какие тексты читают на магистерской программе по Digital Humanities и как эти тексты соотносятся с учебными дисциплинами и курсами.Полина Колозариди,академический руководитель магистратуры Digital Humanities ИТМО, проводница цифровой инфраструктуры и исследованийВ статье Брюггер разделяет цифровые, оцифрованные и цифророждённые объекты, говоря о культурных объектах. Он пишет, что при работе с цифровыми культурными объектами нужно понимать, как цифровые объекты оказались в цифровом виде. И предлагает классификацию из трёх вариантов:Через это разделение мы на программе можем думать, например, про музейные коллекции, архивы, тексты.При этом Брюггер учитывает, что есть не только работа с объектами как таковыми, но есть ещё и практики. Антропологи и интернет-исследователи изучают сквозь призму цифровых объектов, какие существуют практики письма и чтения, какие практики стоят за использованием и взаимодействием с цифровыми объектами и архивами. Для таких исследований нужны подходы разных междисциплинарных направлений. При этом сам Брюггер — филолог, и свой подход к исследованиям он строит из филологических оснований. Он предполагает первенство филологии среди наук, как той, которая может найти мета-язык, основной подход ко всему, что происходит с цифровыми и другими видами объектов.В магистратуре Digital Humanities в ИТМО, где встречаются люди из разных дисциплин, безусловно, нет полного согласия, например, по поводу главенства филологии. Тем не менее поскольку этот текст так ярко заявляет филологическую позицию, он является хорошим основанием или того, чтобы согласиться с ним или поспорить.Если текст Брюггера скорее похож на манифест, то это исследование Моретти и Пестре уже представляет собой хороший пример того, как гуманитарные исследователи могут подходить к конкретной гуманитарной проблеме с помощью цифровых методов. Эта работа — текстологическое исследование языка и риторики мирового банка. На основе  филологического подхода авторы изучают при помощи количественных методов и тексты, и контексты.Результат исследования — не просто статистика в духе «этих слов больше, а этих слов меньше». Моретти и Пестре дают ясное понимание того, что такое собственно банк, как меняется язык в контексте более глобальных изменений институтов. Например, банк в этих документах всегда действует, но не сам по себе. Он с помощью своего ускорения помогает экономикам расти. Но у этого ускорения и движения нет результатов, сам процесс «роста» и «ускорения» как будто заменяет собой результат.Текст Альварадо кажется ценным, потому что в нём он говорит о ситуации цифровой гуманитаристики. Ситуация как то, что объединяет и одновременно разъединяет, переконфигурирует отношения между науками.Мне кажется, интрига у Альварадо состоит в том, чтобы подумать, почему DH — это ситуация, а не раздел науки. Есть ли выход из этой ситуации? Есть ли другие рядоположенные в этой ситуации? Почему это важно? Почему это важно для сегодняшних профессий? Или в контексте того, как мы определяем, что такое цифровое и гуманитарное вообще? Меняется ли смысл слова «гуманитарное» оттого, что мы добавляем «цифровой»?Текст Альварадо, конечно, не отвечает на все эти вопросы. Но он позволяет увидеть их как развилки и понять про себя, что значит быть в ситуации цифровой гуманитаристики. Ведь о современном знании мы говорим как о расположенном (situated knowledge). Если так, то нужно понять, в каком месте, в какой ситуации оно и мы расположены, и почему называем себя Digital Humanities.На мой взгляд, это принципиальный текст в контексте того, что такое цифровая культура в нашей магистратуре. Мы работаем с понятием «культурных институций». Равна ли культура культурным институциям? Конечно, нет. Мы говорим о культуре в довольно разном контексте. Мы говорим о том, что наше взаимодействие, чтение телеграм-каналов, использование цифровых сервисов тоже является культурой. При этом мы можем объявить культурой всё что угодно и само это слово потеряет смысл. Дойз пытается его отстоять и говорит о том, что именно у цифровой культуры есть некоторые основания, которые отличают её от другой — это культура участия, ремедиация и бриколаж.Это текст про метафоры интернета. Аннет Маркхэм разговаривала с первым поколением интернет-пользователей, чтобы понять, что для них — интернет, и выделила три ключевых метафоры интернета: интернет как место, инструмент и способ быть (way of being). Эти метафоры, мы можем поймать в речи: «—А где ты прочитал? — В интернете», «—А как ты мне это пришлешь? — через интернет». Вот два разных способа грамматического использования метафоры интернета как инструмента и как пространства. Но дело не только в грамматике. Дело ещё и в том, что если интернет — это место, то оно отличается от других мест, то есть  онлайн и офлайн — разные пространства.Если мы говорим про интернет как инструмент, то он тоже может быть разным. Может быть, инструмент, который позволяет включать в себя какие-то элементы, инструмент, который позволяет менять часть мира, взаимодействовать, быть  инструментом производства. То есть инструмент — это довольно широкая метафора. При этом, в отличие от пространства, у инструмента нет границ и мы можем говорить, что интернет может быть не только внутри онлайн-пространства.Почему это важно в контексте изучения цифровых объектов и практик? Потому что если интернет — это часть жизни, то, возможно, нам не стоит изучать его отдельно. Вопросы, которые ставит Маркхэм, — те вопросы, с которых и начинается обретение своей идентичности в сфере Digital Humanities. Как мы понимаем, что такое Digital? Как мы понимаем, где Digital существует? Как обращаться с ним как с местом, как с инструментом? На какие академические традиции или проектные практики можно здесь опереться?Екатерина Колычева,преподаватель курса «Антропология социальных медиа» в магистратуре DH-центра ИТМО, аспирантка факультета антропологии Европейского Университета в Санкт-ПетербургеКурс, который мы читали вместе с Полиной Колозариди у магистрантов второго курса DH в ИТМО, во многом построен вокруг антропологического исследования Why We Post? Дэниэла Миллера и его команды. Это исследование посвящено изучению того, как люди меняют интернет.На курсе, кроме прочего, мы пытались нащупать потенциальную ценность антропологии для студентов DH-программы. В связи с этим, я хочу посоветовать несколько статей/книг, которые мы так или иначе обсуждали по ходу курса и которые, на мой взгляд, могут помочь DH-специалистами иначе, по-антропологически смотреть на свой предмет исследования.В далеком 2005 году за редакцией Д. Миллера вышел сборник статей под названием Materiality. Эта книга находится в русле «материального поворота», диктующего внимание к материальным объектам, вещам как акторам и производителям социального действия, социальных отношений. Однако введение Миллера к сборнику может быть примечательным для тех, кто уже прочитал книги Why We Post? или ознакомился с курсом, который участники Клуба любителей интернета и общества перевели на русский язык. Здесь Миллер проводит важную для его последующих исследований (и для антропологии как науки в целом) критику теории, находясь при этом в сильной академической дисциплинарной традиции.Моя любимая цитата: «Показав, что мы (антропологи) можем быть философами (теоретиками), нам нужна смелость отказаться от этой амбиции и вернуться к этнографической эмпатии и обычному языку». В дальнейшем эта критика воплощается в статье под названием «Теория теории смартфона», где теперь автор предпринимает попытки «дефетишизировать» теорию, которая становится маркером элитарности научного знания.На курсе мы обсуждали не только возможные дефиниции понятия «социальные медиа» (спойлер: мы так и не нашли единого определения и раскритиковали предложенное Миллером), но и различные антропологически ориентированные способы исследования социальных медиа. Так, к нам приходил Илья Крапивин, чтобы рассказать, как существует мусульманский «бренд без лица» и как социальные медиа, воспринимаемые Миллером как «масштабируемая социальность», становятся площадкой для продажи услуг и товаров.В разговоре со студентами мы также пришли к более широкому выводу, что социальные медиа в некоторых случаях перестают выполнять те функции (или ломают их), которые были в них заложены. В этом контексте мы вспомнили замечательную, недавно вышедшую на русский язык книгу «Экскоммуникация», которую я люблю еще с курса Антона Гуменского в Шанинке про антропологию медиа. Экскоммуникация в понимании трех авторов эссе, переведенных и напечатанных в книге, проливает свет на то неожиданное обстоятельство, что в самом акте коммуникации заложен его конец, то есть высказывание изначально не предполагает какого-либо ответа.В 2017 году в издательстве Ad Marginem вышел перевод классического исследования К. Гирца о петушиных боях, дополненное комментариями Дениса Сивкова о том, как антропологам живется и работается в эпоху больших данных. Кроме того, что я нашла много всего интересного и доселе неизведанного после перечитывания текста Гирца (например, гирцевское понимание «культуры как текста», растущее из аналитической философии; отсутствие единственного универсального вывода о том, что же такое петушиные бои для балийцев, а также этические и постколониальные вопросы, которые наслаиваются на текст Гирца спустя десятилетия после его написания), я также задумалась о вопросе, который может быть наиболее актуален для DH-специалистов, а именно о смешанных методах исследования.Александра Кейдия,преподаватель курса «UX-исследования» в магистратуре DH-центра ИТМО, UX-исследовательЕсли кратко, то суть книги можно описать тезисом: дизайн для реального пользования требует куда большей ответственности от проектировщика, чем дизайн для условной продажи чего-то заветной целевой аудитории.Дизайн у Папанека — это не про эстетику, а про то, чтобы идентифицировать и предлагать решения проблем реальных людей, которые могут иметь разный социально-экономический статус, разный уровень образования, проживать на разных территориях.Эту книгу особенно интересно читать, если до этого вы уже сталкивались с текстами из Science and Technology Studies. Папанек приводит примеры из своей практики, они хорошо ложатся в те концепции социальных исследователей, которые будут созданы через десять с небольшим лет после издания «Дизайна для реального мира». Например, статья «De-Scription of Technical Objects» Мадлен Акрич отчасти про то, что опыт реального использования объекта пользователями далеко не всегда совпадает с тем, как это пользование представляет проектировщик.Книга написана в критическом духе, что неудивительно для времени её публикации. Несмотря на публикацию текста более 40 лет назад, отражение идей из книги можно найти в основных принципах проектирования и разработки пользователе-центричных продуктов и сервисов.Если у вас не было опыта проведения юзабилити-тестирований и вам нужно разобраться в том, как их применять на практике с учетом всех методических нюансов, организационных ограничений и особенностей полей, в которых вы работаете, то текст обязателен к прочтению.Это быстрый экскурс в боевые инструменты специалиста по пользовательскому опыту неважно, кто вы —  исследователь, дизайнер или находитесь в другой роли. Эвристические и экспертные оценки, модерируемые юзабилити-тестирования, сбор и анализ юзабилити-метрик — в книге пошагово расписано, как подходить к тому или иному инструменту от этапа планирования до анализа и подготовки отчёта. С избытком даны ссылки на другие источники, если захочется углубиться в какую-то конкретную тему.Рекомендую к прочтению главу о пользователях и их целях. В этой главе и в книге в целом уделяется отдельное место тому, что использование технологий имеет различие в зависимости от гендера, географии, возраста пользователя. В тексте много ссылок на исследования, которые помогают учиться быть чувствительными к этому.Анна Козлова,преподаватель курса «Управление контентом в культурных институциях» в магистратуре DH-центра ИТМО, преподаватель Европейского Университета, антрополог, социолог и журналистЯ бы посоветовала обратить внимание на книгу Корнелиуса Холторфа From Stonehenge to Las Vegas: Archaeology as Popular Culture. Когда-то я изучала её в Университете Уппсалы, и с тех пор нежно храню в списке полезного и любимого.Она посвящена археологии и, казалось бы, зачем она нужна студентам на программе по Digital Humanities? Я думаю, что в этом и заключается прекрасная особенность DH. Это поле легко и уместно аккумулирует лучшее из других дисциплин. И хотя книга рассказывает об археологии и, в частности, её репрезентации для зрителя, она может быть полезна тем DH-исследователям, которые собираются работать с любыми формами культурного наследия.На парах по продюсированию цифрового контента для культурных институций мы со студентами обсуждали седьмую главу, в которой задаются вопросы о подлинности, аутентичности и аутентичном ожидании зрителя. И все они применимы и к широкому спектру цифрового вокруг объектов наследия.В прошлый раз мы разбирались, как добыть открытые данные о произведениях, хранящихся в фондах музеев. Сегодня мы немного изучим данные, что нам удалось скачать.Разговор о связи социологии организаций и Digital Humanities, обоснованной теории и возможности соединить прикладные и академические исследования.Получайте наши подборки первыми

 Согласен с  политикой конфиденциальности© 2018–2023 Системный Блокъ"
1,https://sysblok.ru/blog/goskatalog-nemnogo-statistiki/,27.12.2023,Госкаталог — немного статистики,['Олег Лашманов'],"['Блог Олега Лашманова', 'Блоги']","В прошлый раз мы разбирались, как добыть открытые данные о произведениях, хранящихся в фондах музеев. Сегодня мы немного изучим данные, что нам удалось скачать.Напомню: в прошлой серии мы добыли данные и изображения живописных произведений из Госкаталога. В нашем распоряжении — сами изображения и данные об авторах, местах хранения, описания и так далее. Что можно делать с такими данными, мы рассматривали в этой заметке.Сейчас мы обновили наш набор данных, так как на портале открытых данных вышло обновление. К сожалению, по-прежнему архив «битый», поэтому мы используем API для получения данных.Для начала давайте посмотрим, что у нас с авторами. Всего у нас есть 95861 уникальных авторов. А для того, чтобы узнать, как они представлены в собраниях, построим гистограмму.Первая строка гистограммы — это не ошибка, действительно, множество записей просто не содержит никакой информации об авторе. Следующие по популярности — это «Неизвестный мастер» и «Неизвестный художник». Если объединить всех «неизвестных» в один тип, то получится, что примерно для 32% живописных полотен автор неизвестен. Давайте посмотрим распределение только для картин с известным автором.На графике изображены только 20 авторов с наибольшим представительством. Если же учесть все картины, то получится, что в среднем на каждого автора приходится по 4,4 картины, а медианное значение 1. Да, сейчас статистика не совсем точна. А все из-за того, что «Глазунов Илья Сергеевич», «Илья Сергеевич Глазунов» и «Глазунов И.С.» для нас разные авторы. Но за неимением возможности точно удостовериться, кто есть кто, будем пользоваться тем, что есть.С работами самых популярных живописцев можно ознакомиться прямо на сайте Госкаталога:Давайте теперь попробуем понять, что изображено на картинах, просто по их названиям и описаниям. В первом приближении неплохо было бы разбить все изображения по жанрам, для этого будем использовать их названия и описания. Тут мы не будем придумывать каких-то хитрых эмбеддингов (векторных описаний текста) или использовать мешки слов, а просто посмотрим на ключевые слова. Статистика такова:Если убрать «Другое» (пожертвовав 78% данных), то распределение по жанрам выглядит так:Как видно из графиков, большая часть описаний не дала нам информации о жанре картины. В таком случае, мы попробуем другой подход и будем угадывать жанр по изображению. Для этого воспользуемся техникой zero-shot learning и предобученой сетью CLIP (как устроена сеть и почему она работает, мы поговорим как-нибудь в следующий раз). Классы изображений оставим прежними. Прямо сейчас мы оставим без ответа вопрос о точности алгоритма, но быстрая проверка глазами (не очень-то научный метод), говорит нам о том, что алгоритм работает неплохо. Смотрите сами, это портреты по мнению алгоритма:Вроде все так, но там точно есть ошибки. На всякий случай, вот промпты (так называют запросы к сети), которые я использовал при классификации изображений:И тут я подумал: а может, я могу еще что-то узнать из фото? Вообще, все фото в Госкаталоге, которые мне попадались — jpeg изображения. У таких изображений есть заголовок. В этом заголовке может храниться много информации, но для нас сейчас предметом изучения будет exif секция. Из нее, например, можно узнать, на какой аппарат был сделан снимок, а иногда с какой выдержкой и даже точками фокусировки. Давайте же скорее узнаем, на что снимают люди в музеях.Вывод очевиден. Подавляющее число произведений снято на камеру. Стоит отметить, что не всегда это профессиональные камеры, чаще всего это «мыльницы». А в части фото я не смог получить exif, там его просто не было. Чаще всего это означает, что изображение готовили к публикации в интернете или обрабатывали в софте, который ничего не пишет в exif.На этом мы пока остановимся. Как говорится, stay tuned.В 2023 году Школа искусств и культурного наследия Европейского университета запустила магистерскую программу “Музейные исследования и кураторские стратегии”. Это первая в России программа, которая объединяет фундаментальные подходы университетского обучения и новейшие достижения в области высоких технологий на базе музея. Для желающих глубже изучить применение технологических инструментов в искусствоведческой практике рекомендуем трек «Музейные исследования и компьютерные науки», где упор делается на инструментах обработки изображений и естественного языка, визуализации и разметки данных. Подробнее о программе: https://eusp.org/programs/museum-research-and-curatorial-strategiesРазговор с преподавателями DH-центра ИТМО о том, какие тексты читают на магистерской программе по Digital Humanities и как эти тексты соотносятся с учебными дисциплинами и курсами.Разговор о связи социологии организаций и Digital Humanities, обоснованной теории и возможности соединить прикладные и академические исследования.Получайте наши подборки первыми

 Согласен с  политикой конфиденциальности© 2018–2023 Системный Блокъ"
2,https://sysblok.ru/blog/kak-nepredvzjato-izuchat-organizacii-intervju-s-ljonej-juldashevym/,22.12.2023,Как непредвзято изучать организации? Интервью с Лёней Юлдашевым,"['DH Center ITMO University', ' Елизавета Асташкина']","['Блог DH ИТМО', 'Блоги']","Разговор о связи социологии организаций и Digital Humanities, обоснованной теории и возможности соединить прикладные и академические исследования.Леонид Юлдашев, координатор клуба любителей интернета и общества,  преподаватель курса «Социальная история инфраструктур» в магистратуре по Digital Humanities в ИТМОИзначально курс должен был рассказывать об инфраструктурах: это, например, дороги, трубопроводы, электричество, интернет. При этом  основная практика студентов была запланирована в стенах культурных институций, поэтому возникла идея курса о том, как мы можем мыслить организации.В качестве объектов были взяты музеи и библиотеки. При всех различиях у них есть одинаковая потребность – определять путь своего посетителя. Анализ музеев строился на социологии классификации, в том числе на методах Мэри Дуглас. Мы смотрели на музеи как на организации со своими решетками различений, со своими методами кодирования мира.Финальное задание курса — отправиться в музей в Петербурге и сделать исследование методом обоснованной теории. Это значит, что обобщения должны быть не взяты из теоретического словаря, а интуитивно выведены из наблюдений с помощью последовательности ряда микро-интерпретаций.Оптика обоснованной теории позволяет применить качественный подход к аналитике посещения музея. Проходя музей вместе с посетителями, как бы отслеживая каждый шаг, мы обнаруживаем те места, где у них появляются затруднения. Тем же методом мы можем отследить, как институция классифицирует своего посетителя.Мой друг и коллега, социолог Дмитрий Серебренников рассказывает в своей статье, как разные московские ведомства договариваются о месте размещения камер наружного видеонаблюдения. Карта камер отражает области, нуждающиеся в наблюдении, по представлениям этих ведомств. Здесь мы можем увидеть, как соединяются социология классификаций и социальные исследования инфраструктур, что и было воплощено на курсе.Опишу пример из книги. Вы приходите в ресторан и видите, что в зале, кроме официантов и гостей, от столика к столику ходит женщина в красном платье и иногда общается с посетителями. И она — непонятно кто. Она не укладывается ни в одну из двух этих ожидаемых категорий. Вы наблюдаете за её действиями и непредвзято классифицируете их.Женщина в красном платье также переговаривается с официантами, входит в служебные помещения и не отдыхает за столиком. Этим её действиям свойственна целенаправленность и регулярность.В итоге мы фиксируем, что роль этой женщины — координация команды ресторана. На этом примере видно, что классификация людей и их действий происходит всегда.Экономисты любят книгу «Робинзон Крузо» Даниэля Дэфо, потому что Дэфо в ней показывает, что возможна экономика без общественных отношений. Мне кажется, социологи тоже должны любить эту книжку: в ней общественные феномены становятся возможными, даже когда человек совсем один на клочке земли.Не может быть такого, что в общественном месте ничего не происходит. Может быть такое, что ты ничего не видишь. Тем не менее, все студенты что-то увидели.В первую очередь меня интересовало, как студент работает с тем, что он увидел: интерпретирует свой опыт, помещает каждое отдельное наблюдение в контекст других наблюдений. Объектов много: обои, паркет и ковры, одежда библиотекаря, справочные материалы на стенах. И кто заморачивался и обращал внимание на все эти мелочи, тот реализовал метод обоснованной теории.Подход высококачественной этнографии — внимательный и въедливый. Например, мы почувствовали себя клиентами в библиотеке. Но не потому, что все библиотекари носят одежду синего цвета. Это чувство клиентского сервиса возникло на основании совокупности маленьких взаимосвязанных наблюдений. Это можно заметить, даже если ты никогда не бывал в этой институции.Можно сказать, что есть риск, что студент просто выдумал свои наблюдения. Тем не менее, студенту, выдумавшему столько мелочей, можно ставить пятёрку, потому что он как опытный полевой интервьюер, который знает наперёд ответы респондентов. К тому же, в рамках учебного задания вопрос о исторической достоверности не столь важен.Прикладное — значит, соответствующее потребностям заказчика. Совместить прикладную полезность и академическую эмпирику в исследовании можно, если собирать для заказчика данные с прицелом на последующую обработку для научной статьи.Как донести до заказчика смысл академического исследования — это проблема перевода с языка академии на язык бизнеса.Это, мне кажется, вопрос об адекватности исследовательской проблемы. Представим себе исследование, в котором есть одна только процедура: мы спрашиваем людей, как они себя чувствуют сегодня. И если плачущий человек говорит нам, что у него всё в порядке, мы упускаем таким образом контекст.Проблема такого исследования заключается в том, что был задан неадекватный исследовательский вопрос. Если бы мы наблюдали связь между тем, как человек выглядит, и тем, что он отвечает, то была бы другая картина. Мы бы записали в графу «как выглядит»: плачет, а в графу, «как отвечает»: «всё нормально».Те, которые соотносятся с:Адекватность теоретической рамки можно оценить, используя, например, инструментарий DH или STS, социологии науки и технологии. Адекватность исследовательскому полю — это вопросы, занимающие наших коллег, то, что вообще в повестке.Более, чем теоретическая рамка, важна адекватность данным. В социологии, так как она постарше DH, зафиксированы процедуры выбора метода для исследования в соответствии с вопросом и данными.В соцсетях работа будет строиться примерно так: если в корпусе мы собрали 100% постов по определённому тэгу, и только каждый пятый автор этих постов дал нам интервью, значит, мы должны построить выборку для интервью по статистическим законам, чтобы показать, в какой степени наши данные репрезентативны.Быть адекватным исследовательской области — это следовать её когнитивному стилю. Если ты уже выбрал дисциплину, то ты уже отсёк большинство методов.В магистерской ВКР это особенно важно. Если мы успеем хорошо понять, как проводятся исследования в STS, то это покажет, что мы усвоили материал, данный в университете. С другой стороны, будет достойный публикации материал, потому что работа будет использовать терминологию нашего исследовательского поля.Эксперименты с методами — это отдельная проблемная задача для сильных духом. В магистерской работе я рекомендую освоить одну область. Это само по себе трудоемкое и времязатратное занятие. Студенты, как я знаю, любят придумывать разного рода эксперименты — осуществить потом это бывает трудно.Мэри Д. Как мыслят институты //Социология власти. – 2012. – №. 4-5. – С. 188-217.Серебренников Д. Е. Инфраструктура как камера-обскура социальных классификаций: системы городского видеонаблюдения в малых городах //Мониторинг общественного мнения: экономические и социальные перемены. – 2023. – №. 3.Страусс А., Корбин Д. Основы качественного исследования. – 2007.Разговор с преподавателями DH-центра ИТМО о том, какие тексты читают на магистерской программе по Digital Humanities и как эти тексты соотносятся с учебными дисциплинами и курсами.В прошлый раз мы разбирались, как добыть открытые данные о произведениях, хранящихся в фондах музеев. Сегодня мы немного изучим данные, что нам удалось скачать.Получайте наши подборки первыми

 Согласен с  политикой конфиденциальности© 2018–2023 Системный Блокъ"
